,row_date,split,id,calls_answered,aht
385,2020-08-17,904,1290043722,3,33.0
386,2020-08-17,904,978007026,4,21.5
387,2020-08-18,902,1290045069,1,7.0
388,2020-08-18,902,1290043491,7,21.1428571428571
389,2020-08-18,902,1290043632,10,24.1
390,2020-08-18,902,1290043839,12,27.0833333333333
391,2020-08-18,902,1290043830,7,35.4285714285714
392,2020-08-18,902,1290024012,2,22.5
393,2020-08-18,902,1290013092,8,42.75
394,2020-08-18,902,1290043815,9,28.4444444444444
395,2020-08-18,902,1290038523,12,23.9166666666667
396,2020-08-18,902,1290038817,6,22.1666666666667
397,2020-08-18,902,1290044364,16,16.125
398,2020-08-18,902,1290043821,5,36.6
399,2020-08-18,902,1290028206,5,38.2
400,2020-08-18,902,1290013089,6,28.1666666666667
401,2020-08-18,902,1290029955,4,30.75
402,2020-08-18,902,1290045066,8,29.25
403,2020-08-18,902,1290043722,7,38.4285714285714
404,2020-08-18,902,978007026,14,24.642857142857103
405,2020-08-18,902,1290043842,9,43.6666666666667
406,2020-08-18,902,1290034734,1,38.0
407,2020-08-18,904,1290043491,3,36.0
408,2020-08-18,904,1290043632,1,9.0
409,2020-08-18,904,1290043839,2,35.5
410,2020-08-18,904,1290043830,2,30.0
411,2020-08-18,904,1290024012,1,29.0
412,2020-08-18,904,1290013092,2,35.5
413,2020-08-18,904,1290043815,2,33.0
414,2020-08-18,904,1290038523,1,10.0
415,2020-08-18,904,1290038817,2,42.0
416,2020-08-18,904,1290044364,2,12.0
417,2020-08-18,904,1290043821,1,51.0
418,2020-08-18,904,1290028206,1,47.0
419,2020-08-18,904,1290013089,1,23.0
420,2020-08-18,904,1290029955,2,32.0
421,2020-08-18,904,1290043722,3,35.6666666666667
422,2020-08-18,904,978007026,3,18.3333333333333
423,2020-08-18,904,1290043842,2,10.0
424,2020-08-18,909,1290013089,2,40.5
425,2020-08-18,909,1290029955,1,15.0
426,2020-08-19,902,1290043491,8,27.125
427,2020-08-19,902,639043557,10,24.2
428,2020-08-19,902,1290043632,7,20.4285714285714
429,2020-08-19,902,1290043839,9,32.1111111111111
430,2020-08-19,902,1290043830,6,32.3333333333333
431,2020-08-19,902,1290018936,7,36.0
432,2020-08-19,902,1290013092,7,47.1428571428571
433,2020-08-19,902,1290038523,13,18.2307692307692
434,2020-08-19,902,1290038817,4,30.25
435,2020-08-19,902,1290044364,14,25.642857142857103
436,2020-08-19,902,1290043821,9,31.888888888888896
437,2020-08-19,902,1290028206,6,40.1666666666667
438,2020-08-19,902,1290013089,6,24.1666666666667
439,2020-08-19,902,1290029955,6,34.1666666666667
440,2020-08-19,902,1290045066,7,38.5714285714286
441,2020-08-19,902,1290043722,11,27.9090909090909
442,2020-08-19,902,978007026,13,20.692307692307697
443,2020-08-19,902,1290043842,8,45.75
444,2020-08-19,904,639043557,1,14.0
445,2020-08-19,904,1290043632,5,11.6
446,2020-08-19,904,1290043830,1,30.0
447,2020-08-19,904,1290018936,1,58.0
448,2020-08-19,904,1290013092,1,1.0
449,2020-08-19,904,1290038523,2,35.0
450,2020-08-19,904,1290043821,1,45.0
451,2020-08-19,904,1290028206,2,28.5
452,2020-08-19,904,1290013089,2,22.0
453,2020-08-19,904,1290029955,2,19.5
454,2020-08-19,904,1290045066,3,28.6666666666667
455,2020-08-19,909,639043557,2,40.5
456,2020-08-19,909,1290043830,3,37.3333333333333
457,2020-08-19,909,978007026,3,35.0
458,2020-08-20,902,1290043491,14,21.2142857142857
459,2020-08-20,902,639043557,7,44.0
460,2020-08-20,902,1290043632,9,23.2222222222222
461,2020-08-20,902,1290043839,13,19.692307692307697
462,2020-08-20,902,1290043830,12,23.5833333333333
463,2020-08-20,902,1290018936,4,37.0
464,2020-08-20,902,1290013092,6,36.6666666666667
465,2020-08-20,902,1290043815,8,42.125
466,2020-08-20,902,1290038523,8,20.625
467,2020-08-20,902,1290038817,7,35.0
468,2020-08-20,902,1290044364,15,18.4
469,2020-08-20,902,1290043821,10,32.9
470,2020-08-20,902,1290028206,4,32.25
471,2020-08-20,902,1290013089,9,27.0
